IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
1;Строительно-техническая экспертиза;1;Y;;;/upload/iblock/092/092dda42376f60cb27a45936d999f8ce.jpg;качество и соответствие строительных работ, обследование помещений и заключение о безопасности их эксплуатации;text;;;text;stroitelno-tekhnicheskaya-ekspertiza;1;;;;
2;Оценка имущества;2;Y;;;/upload/iblock/08a/08ae749105343b260e383522ca9b7497.jpg;среднерыночная стоимость движимого и недвижимого имущества различных видов собственности;text;;;text;otsenka-imushchestva;2;;;;
3;Бухгалтерская, финансовая экспертиза;3;Y;;;/upload/iblock/894/8949df02e36f65c85647b90da61f6159.jpg;"Анализ финансовой отчетности, первичной документации, анализ сводных промежуточных регистров, банковских операций, прочих материалов &#40;договора, данные контрагентов, переписка, решение по актам ревизий, кредитные договора&#41;";html;;;text;bukhgalterskaya-finansovaya-ekspertiza;3;;;;
4;Оценка бизнеса;4;Y;;;/upload/iblock/894/8949df02e36f65c85647b90da61f6159.jpg;рассчет стоимости предприятия, франшизы. Анализ бизнес-модели и экономической эффективности предприятия;text;;;text;otsenka-biznesa;4;;;;
5;Экспертиза транспортных средств;5;Y;;;/upload/iblock/08a/08ae749105343b260e383522ca9b7497.jpg;оценка ущерба транспортным средствам. Установление причинно-следственной связи ДТП;text;;;text;ekspertiza-transportnykh-sredstv;5;;;;
6;Оценка ущерба движимого и недвижимого имущества;6;Y;;;/upload/iblock/092/092dda42376f60cb27a45936d999f8ce.jpg;при затоплениях, возгораниях и прочих неблагоприятных ситуациях;text;;;text;otsenka-ushcherba-dvizhimogo-i-nedvizhimogo-imushchestva;6;;;;
7;Товароведческая экспертиз;7;Y;;;/upload/iblock/894/8949df02e36f65c85647b90da61f6159.jpg;соответствие качества товара заявленным характеристикам;text;;;text;tovarovedcheskaya-ekspertiz;7;;;;
8;Землеустроительная экспертиза;8;Y;;;/upload/iblock/08a/08ae749105343b260e383522ca9b7497.jpg;определение границ участков, законности строений и кадастровой стоимости;text;;;text;zemleustroitelnaya-ekspertiza;8;;;;
9;Экспертиза качества дорожных покрытий;9;Y;;;/upload/iblock/894/8949df02e36f65c85647b90da61f6159.jpg;соответствие проектам, ГОСТам и строительным правилам;text;;;text;ekspertiza-kachestva-dorozhnykh-pokrytiy;9;;;;
10;Экспертиза качества драгоценных металлов и ювелирных изделий;10;Y;;;/upload/iblock/092/092dda42376f60cb27a45936d999f8ce.jpg;определение подлинности материалов, веса, иных характеристик изделий;text;;;text;ekspertiza-kachestva-dragotsennykh-metallov-i-yuvelirnykh-izdeliy;10;;;;
